case_id,poi_id,name,brand,ref,category,province,subdistrict,housenumber,street,address_text,address_status,primary_sampling_stratum,name_fold_n,brand_n,name_province_n,clean_reason,legacy_pilot110,clean_pass,clean_notes
g150-001,osm:node/8987527027,Vietcombank,Vietcombank,,amenity=bank,Hà Nội,Phường Định Công,CC2,Phố Nguyễn Hữu Thọ,"CC2, Phố Nguyễn Hữu Thọ, Phường Định Công, Hà Nội",direct,brand_branch,404,363,8,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-002,osm:node/8679558960,Hồng Lam Ô mai & Cafe,Hồng Lam,,shop=gift,Tỉnh An Giang,Đặc khu Phú Quốc,ĐTH1-18,Địa Trung Hải 1,"ĐTH1-18, Địa Trung Hải 1, Đặc khu Phú Quốc, Tỉnh An Giang",direct,brand_branch,1,14,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-003,osm:node/5436848722,Harley-Davidson of Saigon,Harley-Davidson,,shop=motorcycle,Thành phố Hồ Chí Minh,Phường Tân Mỹ,800,Nguyễn Văn Linh,"800, Nguyễn Văn Linh, Phường Tân Mỹ, Thành phố Hồ Chí Minh",direct,brand_branch,1,4,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-004,osm:way/1343390353,Jollibee,Jollibee,,amenity=fast_food|building=yes,Thành phố Bắc Ninh,Phường Võ Cường,393,Đường Trần Hưng Đạo,"393, Đường Trần Hưng Đạo, Phường Võ Cường, Thành phố Bắc Ninh",direct,brand_branch,38,33,6,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-005,osm:node/6325568187,Converse,Converse,,shop=shoes,Thành phố Đà Nẵng,Phường Hải Châu,156,Lê Duẩn,"156, Lê Duẩn, Phường Hải Châu, Thành phố Đà Nẵng",direct,brand_branch,4,4,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-006,osm:node/8897049818,Circle K,Circle K,,shop=convenience,Hà Nội,Phường Khương Đình,13,Phố Khương Hạ,"13, Phố Khương Hạ, Phường Khương Đình, Hà Nội",direct,brand_branch,211,170,4,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-007,osm:way/206245067,Sheraton Nha Trang Hotel & Spa,Sheraton,,tourism=hotel|building=yes,Khánh Hòa,Phường Nha Trang,26-28,Đường Trần Phú,"26-28, Đường Trần Phú, Phường Nha Trang, Khánh Hòa",direct,brand_branch,1,5,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-008,osm:node/8005555185,Cửa Hàng Ô Mai Hồng Lam Cao Thắng,Hồng Lam,,shop=yes,Thành phố Hồ Chí Minh,Phường Bàn Cờ,17A,Cao Thắng,"17A, Cao Thắng, Phường Bàn Cờ, Thành phố Hồ Chí Minh",direct,brand_branch,1,14,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-009,osm:node/11533456837,ACB,ACB,,amenity=bank,Thành phố Hải Phòng,Phường Lê Chân,274B,Phố Lạch Tray,"274B, Phố Lạch Tray, Phường Lê Chân, Thành phố Hải Phòng",direct,brand_branch,124,78,8,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-010,osm:node/5920056999,Cộng Cà Phê,Cộng Cà Phê,,amenity=cafe,Thành phố Đà Nẵng,Phường Hải Châu,259/15,Nguyễn Chí Thanh,"259/15, Nguyễn Chí Thanh, Phường Hải Châu, Thành phố Đà Nẵng",direct,brand_branch,47,44,7,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
