case_id,variant_id,query_text,canonical_query,query_variant_family,variant_operator,variant_subtype,severity,query_types,intended_poi_id,acceptable_poi_ids,primary_sampling_stratum,review_status,generator_version
g150-001,g150-001-v1,Vietcombank Nguyễn Hữu Thọ,Vietcombank Nguyễn Hữu Thọ,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_vi,osm:node/8987527027,osm:node/8987527027,brand_branch,accepted,search20-stage1-query-variants@1
g150-001,g150-001-v2,Vietcombank Nguyễn Huu Tho,Vietcombank Nguyễn Hữu Thọ,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8987527027,osm:node/8987527027,brand_branch,accepted,search20-stage1-query-variants@1
g150-001,g150-001-v3,Vietcombank Nguyễn Hữu Thoj,Vietcombank Nguyễn Hữu Thọ,ORTHOGRAPHIC_IME,telex_leftover,telex_tone_marker,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8987527027,osm:node/8987527027,brand_branch,accepted,search20-stage1-query-variants@1
g150-001,g150-001-v4,VCB Nguyễn Hữu Thọ,Vietcombank Nguyễn Hữu Thọ,ALIAS,abbreviation,,CLEAN,abbreviation|brand|street|lang_vi,osm:node/8987527027,osm:node/8987527027|osm:node/1491047941,brand_branch,accepted,search20-stage1-query-variants@1
g150-001,g150-001-v5,Vietcombankk Nguyễn Hữu Thọ,Vietcombank Nguyễn Hữu Thọ,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8987527027,osm:node/8987527027,brand_branch,accepted,search20-stage1-query-variants@1
g150-001,g150-001-v6,Veitcombank Nguyễn Hữu Thọ,Vietcombank Nguyễn Hữu Thọ,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8987527027,osm:node/8987527027,brand_branch,accepted,search20-stage1-query-variants@1
g150-002,g150-002-v1,Hồng Lam Ô mai & Cafe Phú Quốc,Hồng Lam Ô mai & Cafe Phú Quốc,CLEAN,canonical,,CLEAN,exact_name|brand|name_area|lang_vi,osm:node/8679558960,osm:node/8679558960,brand_branch,accepted,search20-stage1-query-variants@1
g150-002,g150-002-v2,Hồng Lam O mai & Cafe Phu Quoc,Hồng Lam Ô mai & Cafe Phú Quốc,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|name_area|typo|lang_vi,osm:node/8679558960,osm:node/8679558960,brand_branch,accepted,search20-stage1-query-variants@1
g150-002,g150-002-v3,Hồng Lam Ô mai & Cafe Địa Trung Hải,Hồng Lam Ô mai & Cafe Phú Quốc,ALIAS,name_area,,CLEAN,name_area|brand|lang_vi,osm:node/8679558960,osm:node/8679558960,brand_branch,accepted,search20-stage1-query-variants@1
g150-002,g150-002-v4,Ô mai Hồng Lam Phú Quốc,Hồng Lam Ô mai & Cafe Phú Quốc,STRUCTURAL,token_order_variant,,CLEAN,short_name|brand|name_area|lang_vi,osm:node/8679558960,osm:node/8679558960,brand_branch,accepted,search20-stage1-query-variants@1
g150-002,g150-002-v5,Hồng Lam Ô mai & Cafee Phú Quốc,Hồng Lam Ô mai & Cafe Phú Quốc,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|name_area|typo|lang_vi,osm:node/8679558960,osm:node/8679558960,brand_branch,accepted,search20-stage1-query-variants@1
g150-002,g150-002-v6,Hồng Lam Ô mai & Cafe Phụ Quốc,Hồng Lam Ô mai & Cafe Phú Quốc,ORTHOGRAPHIC_IME,tone_confuse,,SINGLE,partial|brand|name_area|typo|lang_vi,osm:node/8679558960,osm:node/8679558960,brand_branch,accepted,search20-stage1-query-variants@1
g150-003,g150-003-v1,Harley-Davidson Nguyễn Văn Linh,Harley-Davidson Nguyễn Văn Linh,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_en,osm:node/5436848722,osm:node/5436848722,brand_branch,accepted,search20-stage1-query-variants@1
g150-003,g150-003-v2,Harley-Davidson Nguyễn Van Linh,Harley-Davidson Nguyễn Văn Linh,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_en,osm:node/5436848722,osm:node/5436848722,brand_branch,accepted,search20-stage1-query-variants@1
g150-003,g150-003-v3,Harley Davidson Saigon,Harley-Davidson Nguyễn Văn Linh,ALIAS,short_name,,CLEAN,short_name|brand|street|lang_en,osm:node/5436848722,osm:node/5436848722,brand_branch,accepted,search20-stage1-query-variants@1
g150-003,g150-003-v4,Harley-Davdison Nguyễn Văn Linh,Harley-Davidson Nguyễn Văn Linh,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|typo|lang_en,osm:node/5436848722,osm:node/5436848722,brand_branch,accepted,search20-stage1-query-variants@1
g150-003,g150-003-v5,Harleyy-Davidson Nguyễn Văn Linh,Harley-Davidson Nguyễn Văn Linh,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_en,osm:node/5436848722,osm:node/5436848722,brand_branch,accepted,search20-stage1-query-variants@1
g150-003,g150-003-v6,Harley-Davidson Nguyễn Văn Lnih,Harley-Davidson Nguyễn Văn Linh,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|typo|lang_en,osm:node/5436848722,osm:node/5436848722,brand_branch,accepted,search20-stage1-query-variants@1
g150-004,g150-004-v1,Jollibee Trần Hưng Đạo Bắc Ninh,Jollibee Trần Hưng Đạo Bắc Ninh,CLEAN,canonical,,CLEAN,exact_name|brand|street|name_area|lang_mixed,osm:way/1343390353,osm:way/1343390353,brand_branch,accepted,search20-stage1-query-variants@1
g150-004,g150-004-v2,Jollibee Trần Hung Dao Bac Ninh,Jollibee Trần Hưng Đạo Bắc Ninh,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/1343390353,osm:way/1343390353,brand_branch,accepted,search20-stage1-query-variants@1
g150-004,g150-004-v3,Jollibee Võ Cường,Jollibee Trần Hưng Đạo Bắc Ninh,ALIAS,name_area,,CLEAN,name_area|brand|street|lang_mixed,osm:way/1343390353,osm:way/1343390353,brand_branch,accepted,search20-stage1-query-variants@1
g150-004,g150-004-v4,Jolibee Trần Hưng Đạo Bắc Ninh,Jollibee Trần Hưng Đạo Bắc Ninh,MECHANICAL_TYPO,char_delete,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/1343390353,osm:way/1343390353,brand_branch,accepted,search20-stage1-query-variants@1
g150-004,g150-004-v5,Jollibeee Trần Hưng Đạo Bắc Ninh,Jollibee Trần Hưng Đạo Bắc Ninh,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/1343390353,osm:way/1343390353,brand_branch,accepted,search20-stage1-query-variants@1
g150-004,g150-004-v6,Jollibee Chần Hưng Đạo Bắc Ninh,Jollibee Trần Hưng Đạo Bắc Ninh,PHONOLOGICAL,phonological_confusion,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/1343390353,osm:way/1343390353,brand_branch,accepted,search20-stage1-query-variants@1
g150-005,g150-005-v1,Converse Lê Duẩn Đà Nẵng,Converse Lê Duẩn Đà Nẵng,CLEAN,canonical,,CLEAN,exact_name|brand|street|name_area|lang_mixed,osm:node/6325568187,osm:node/6325568187,brand_branch,accepted,search20-stage1-query-variants@1
g150-005,g150-005-v2,Converse Lê Duan Da Nang,Converse Lê Duẩn Đà Nẵng,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:node/6325568187,osm:node/6325568187,brand_branch,accepted,search20-stage1-query-variants@1
g150-005,g150-005-v3,Converse Lê Duẩn,Converse Lê Duẩn Đà Nẵng,ADDRESS_VARIANT,street,,CLEAN,street|brand|name_area|lang_mixed,osm:node/6325568187,osm:node/6325568187,brand_branch,accepted,search20-stage1-query-variants@1
g150-005,g150-005-v4,Convrse Lê Duẩn Đà Nẵng,Converse Lê Duẩn Đà Nẵng,MECHANICAL_TYPO,char_delete,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:node/6325568187,osm:node/6325568187,brand_branch,accepted,search20-stage1-query-variants@1
g150-005,g150-005-v5,Conversee Lê Duẩn Đà Nẵng,Converse Lê Duẩn Đà Nẵng,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:node/6325568187,osm:node/6325568187,brand_branch,accepted,search20-stage1-query-variants@1
g150-005,g150-005-v6,Converse LêDuẩn Đà Nẵng,Converse Lê Duẩn Đà Nẵng,TOKEN_EDIT,space_merge,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:node/6325568187,osm:node/6325568187,brand_branch,accepted,search20-stage1-query-variants@1
g150-006,g150-006-v1,Circle K Khương Hạ,Circle K Khương Hạ,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_mixed,osm:node/8897049818,osm:node/8897049818,brand_branch,accepted,search20-stage1-query-variants@1
g150-006,g150-006-v2,Circle K Khương Ha,Circle K Khương Hạ,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_mixed,osm:node/8897049818,osm:node/8897049818,brand_branch,accepted,search20-stage1-query-variants@1
g150-006,g150-006-v3,Cirle K Khương Hạ,Circle K Khương Hạ,MECHANICAL_TYPO,char_delete,,SINGLE,partial|brand|street|typo|lang_mixed,osm:node/8897049818,osm:node/8897049818,brand_branch,accepted,search20-stage1-query-variants@1
g150-006,g150-006-v4,Cửa hàng tiện lợi Khương Hạ,Circle K Khương Hạ,ALIAS,category,,CLEAN,category|brand|street|lang_mixed,osm:node/8897049818,osm:node/8897049818,brand_branch,accepted,search20-stage1-query-variants@1
g150-006,g150-006-v5,Circle Kk Khương Hạ,Circle K Khương Hạ,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_mixed,osm:node/8897049818,osm:node/8897049818,brand_branch,accepted,search20-stage1-query-variants@1
g150-006,g150-006-v6,Cirlce K Khương Hạ,Circle K Khương Hạ,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|typo|lang_mixed,osm:node/8897049818,osm:node/8897049818,brand_branch,accepted,search20-stage1-query-variants@1
g150-007,g150-007-v1,Sheraton Nha Trang Trần Phú,Sheraton Nha Trang Trần Phú,CLEAN,canonical,,CLEAN,exact_name|brand|street|name_area|lang_mixed,osm:way/206245067,osm:way/206245067,brand_branch,accepted,search20-stage1-query-variants@1
g150-007,g150-007-v2,Sheraton Nha Trang Trần Phu,Sheraton Nha Trang Trần Phú,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/206245067,osm:way/206245067,brand_branch,accepted,search20-stage1-query-variants@1
g150-007,g150-007-v3,Khách sạn Sheraton Nha Trang,Sheraton Nha Trang Trần Phú,ALIAS,short_name,,CLEAN,short_name|brand|street|name_area|lang_mixed,osm:way/206245067,osm:way/206245067,brand_branch,accepted,search20-stage1-query-variants@1
g150-007,g150-007-v4,Sheraton Nha Trang Tràn Phú,Sheraton Nha Trang Trần Phú,ORTHOGRAPHIC_IME,tone_confuse,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/206245067,osm:way/206245067,brand_branch,accepted,search20-stage1-query-variants@1
g150-007,g150-007-v5,Sheratonn Nha Trang Trần Phú,Sheraton Nha Trang Trần Phú,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/206245067,osm:way/206245067,brand_branch,accepted,search20-stage1-query-variants@1
g150-007,g150-007-v6,Sheraton Nha Trang Trần Phụ,Sheraton Nha Trang Trần Phú,ORTHOGRAPHIC_IME,tone_confuse,,SINGLE,partial|brand|street|name_area|typo|lang_mixed,osm:way/206245067,osm:way/206245067,brand_branch,accepted,search20-stage1-query-variants@1
g150-008,g150-008-v1,Ô Mai Hồng Lam Cao Thắng,Ô Mai Hồng Lam Cao Thắng,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_vi,osm:node/8005555185,osm:node/8005555185,brand_branch,accepted,search20-stage1-query-variants@1
